split,category,filename,cap,label,fill_level,num_detections,flags
train,normal,normal__Image__2026-04-20__16-25-41.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-26-29.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-24-03.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-36-16.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-35-32.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-33-23.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-33-58.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-28-16.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-33-49.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-26-25.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-27-50.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-32-13.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-28-43.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-21-44.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-32-40.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-28-28.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-24-39.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-36-12.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-29-24.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-26-06.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-34-17.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-29-13.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-27-19.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-23-32.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-33-45.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-20-35.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-21-49.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-22-32.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-26-43.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-24-51.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-20-24.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-24-57.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-21-34.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-35-36.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-23-57.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-36-36.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-27-09.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-27-55.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-35-24.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-27-31.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-23-03.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-32-24.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-22-10.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-21-07.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-23-20.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-36-03.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-33-27.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-24-29.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-34-26.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-29-04.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-33-00.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-34-08.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-32-05.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-33-31.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-28-22.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-29-35.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-33-54.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-22-52.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-28-05.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-32-48.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-35-57.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-28-38.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-22-26.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-27-03.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-24-24.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-27-36.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-27-45.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-23-37.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-36-21.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-21-12.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-33-36.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-21-39.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-26-37.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-25-31.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-28-58.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-20-41.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-34-31.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-23-14.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-27-25.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-24-16.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-35-45.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-24-22.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-21-24.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-24-34.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-21-18.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-21-29.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-34-12.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-34-35.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-22-43.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-22-00.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-36-07.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-24-09.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-25-08.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-28-33.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-22-05.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-32-31.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-29-18.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-20-12.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-26-52.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-33-41.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-25-20.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-33-08.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-24-45.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-36-32.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-34-50.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-25-36.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-25-15.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-22-19.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-20-54.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-21-01.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-33-14.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-22-14.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-35-41.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-22-38.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-23-25.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-25-25.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-25-54.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-26-48.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-20-48.bmp,1,1,1,3,
train,normal,normal__Image__2026-04-20__16-22-48.bmp,1,1,1,3,
train,abn_no_cap,abn_no_cap__Image__2026-04-20__17-03-06.bmp,0,1,1,2,
train,abn_no_cap,abn_no_cap__Image__2026-04-20__17-03-51.bmp,0,1,1,2,
train,abn_no_cap,abn_no_cap__Image__2026-04-20__17-04-06.bmp,0,1,1,2,
train,abn_no_cap,abn_no_cap__Image__2026-04-20__17-03-41.bmp,0,1,1,2,
train,abn_no_cap,abn_no_cap__Image__2026-04-20__17-03-45.bmp,0,1,1,2,
train,abn_no_cap,abn_no_cap__Image__2026-04-20__17-03-17.bmp,0,1,1,2,
train,abn_no_cap,abn_no_cap__Image__2026-04-20__17-03-25.bmp,0,1,1,2,
train,abn_no_cap,abn_no_cap__Image__2026-04-20__17-03-56.bmp,0,1,1,2,
train,abn_no_cap,abn_no_cap__Image__2026-04-20__17-03-36.bmp,0,1,1,2,
train,abn_cap_open,abn_cap_open__Image__2026-04-20__17-00-43.bmp,1,1,1,3,
train,abn_cap_open,abn_cap_open__Image__2026-04-20__17-00-48.bmp,1,1,1,3,
train,abn_cap_open,abn_cap_open__Image__2026-04-20__17-00-30.bmp,1,1,1,3,
train,abn_cap_open,abn_cap_open__Image__2026-04-20__17-00-56.bmp,1,1,1,3,
train,abn_cap_open,abn_cap_open__Image__2026-04-20__17-00-34.bmp,1,1,1,3,
train,abn_cap_open,abn_cap_open__Image__2026-04-20__17-00-07.bmp,1,1,1,3,
train,abn_cap_open,abn_cap_open__Image__2026-04-20__17-00-52.bmp,1,1,1,3,
train,abn_cap_open,abn_cap_open__Image__2026-04-20__17-00-26.bmp,1,1,1,3,
train,abn_no_label,abn_no_label__Image__2026-04-20__16-55-23.bmp,1,0,1,2,
train,abn_no_label,abn_no_label__Image__2026-04-20__16-55-36.bmp,1,0,1,2,
train,abn_no_label,abn_no_label__Image__2026-04-20__16-55-44.bmp,1,0,1,2,
train,abn_no_label,abn_no_label__Image__2026-04-20__16-55-54.bmp,1,0,1,2,
train,abn_no_label,abn_no_label__Image__2026-04-20__16-55-18.bmp,1,0,1,2,
train,abn_no_label,abn_no_label__Image__2026-04-20__16-54-42.bmp,1,0,1,2,
train,abn_no_label,abn_no_label__Image__2026-04-20__16-55-27.bmp,1,0,1,2,
